Severity,Description
0,Slow traffic and left lane blocked due to accident on WA-599 Southbound at 133rd St.
1,Right lane blocked due to accident on I-5 Northbound at Columbian Way.
1,Accident on I-5 Southbound at Exit 172 Banner Way.
1,2 right and HOV lane blocked and queueing traffic due to accident on I-5 Southbound after Exits 164A 164B I-90.
0,Accident on Henderson Pl at 9th Ave.
0,Right lane blocked due to accident on Alaskan Way Via Southbound at Columbia St.
0,Accident on Broad St Southbound at 5th Ave.
0,Accident on Northgate Way near 5th Ave.
0,Accident on Barton Pl at 51st Ave.
0,Accident on 116th St near 12th Ave.
0,Accident on 74th St at Sand Point Way.
0,Right lane blocked due to accident on 3rd Ave Southbound at Columbia St.
1,One lane blocked due to accident on I-5 at Exits 161 162 Bailey St.
0,Accident on Broadway at Minor Ave.
0,Accident on Spruce St at 18th Ave.
1,Accident on I-5 Northbound at Lakeview Blvd.
0,Two lanes blocked due to accident on WA-99 Aurora Ave Southbound at 90th St.
0,Turning lane blocked due to accident on WA-99 Aurora Ave Northbound at 90th St.
0,Accident on 40th St at Densmore Ave.
0,Accident on Rainier Ave at 23rd Ave.
0,Accident on 3rd Ave at Forest St.
0,Left lane blocked due to accident on Jackson St Eastbound near Boren Ave.
0,Accident on Cherry St at 20th Ave.
0,Slow traffic and right lane blocked due to accident on Martin Luther King Jr Way Southbound at Columbian Way.
1,Very slow traffic and HOV lane blocked due to accident on I-5 Southbound at Exits 163 163A 163B Seattle Brg.
0,Slow traffic and center lane blocked due to accident on WA-518 Eastbound before I-5.
1,Very slow traffic and right lane blocked due to accident on I-5 Northbound after Exits 163 163A 163B Seattle Brg.
0,Accident on Shilshole Ave both ways at 24th Ave.
0,Lane blocked on entry ramp due to accident on WA-509 Des Moines Memorial Dr Northbound at Des Moines Memorial Dr.
0,Accident on Cherry St at 6th Ave.
0,Accident on Boren Ave at Stewart St.
0,Accident on 45th St near 11th Ave.
0,Accident on Northlake Way at Latona Ave.
0,Accident on 1st Ave at WA-99 Alaskan Way Via.
0,Accident on Boren Ave at Stewart St.
0,Accident on Corson Ave at Harney St.
0,Accident on 35th Ave at 125th St.
0,Accident on Rainier Ave at Genesee St.
0,Accident on Bennett St at 1st Ave.
0,Restrictions on entry ramp due to accident on WA-99 Southbound at WA-599.
0,Accident on WA-522 Lake City Way at 85th St.
0,Accident on Brandon St around Rainier Ave.
0,Accident on Northlake Way at Latona Ave.
0,Lane blocked due to accident on 6th Ave Northbound near Lander St.
0,Accident on 122nd St at Dayton Ave.
1,Three lanes blocked and queueing traffic due to accident on I-5 Northbound at Exit 173 1st Ave.
0,Restrictions and slow traffic due to fuel spillage on Michigan St at 5th Pl.
0,Lane blocked and very slow traffic due to accident on Roanoke St at Lake Washington Blvd.
0,Accident on 3rd Ave near 100th St.
1,Slow traffic and right lane blocked due to accident on I-5 Northbound at Exits 163 163A 163B Seattle Brg.
1,Queueing traffic and (entry ramp) right lane blocked due to accident on I-5 Northbound at Exits 161 162 Bailey St.
1,Slow traffic and left lane blocked due to accident on I-5 Southbound at I-5 Exits 164 165 165A 165B / James St.
0,Accident on Stone Ave both ways at Green Lake Dr.
1,Two lanes blocked due to accident on I-5 Southbound at Exit 158 WA-900 Martin Luther King Jr Way.
0,Accident on 125th St at 32nd Ave.
0,Accident on 15th Ave near Cowen Pl.
0,Accident on WA-99 Marginal Way at Diagonal Ave.
0,Accident on 4th Ave at Denny Way.
0,Queueing traffic and right lane blocked due to accident on WA-99 1st Ave Northbound at WA-509.
0,Accident on 80th St at 23rd Ave.
0,Accident on Roosevelt Way at 42nd St.
0,Accident on 42nd Ave at Alaska St.
0,Queueing traffic and right lane blocked due to accident on WA-99 1st Ave both ways at WA-509.
0,Accident on 13th Ave both ways at Airport Way.
0,Slow traffic due to accident on WA-99 Marginal Way at Lucile St.
1,Lane blocked on exit ramp due to accident on I-5 Northbound at Exits 164A 164B I-90.
0,Accident on Rainier Ave at Cornell Ave.
0,Very slow traffic and right lane blocked due to accident on 1st Ave Northbound near I-5.
1,Two lanes blocked and very slow traffic due to accident on I-5 Southbound at Exits 153 154A 154AB I-405.
1,Lane blocked on exit ramp due to accident on I-5 Southbound at Exits 153 154A 154AB I-405.
1,Very slow traffic and right lane blocked due to accident on I-5 Southbound near Exits 161 162 Bailey St.
1,Lane blocked and very slow traffic due to accident on I-5 Northbound near Exits 164A 164B I-90.
0,Left lane blocked due to accident on WA-509 Northbound at Cloverdale St.
0,Accident on 12th Ave both ways at Pine St.
1,Right lane blocked due to accident on I-5 Southbound at James St.
1,Right lane blocked due to accident on I-5 Southbound between Exits 166 167 Eastlake Ave and Exits 164 165 165A 165B Cherry St.
0,Accident on Marion St at 4th Ave.
1,Two lanes blocked due to accident on I-5 Northbound between 4th Ave and 6th Ave.
0,Accident on 6th Ave Southbound at James St.
0,Fuel spillage on Hanford St at Martin Luther King Jr Way.
0,Accident on 35th Ave near Hanford St.
0,Accident on 6th Ave at Battery St.
0,Slow traffic and right lane blocked due to accident on WA-520 Westbound between 84th Ave and Lake Washington Blvd.
0,Slow traffic due to accident on 8th Ave at Northgate Way.
0,Accident on 50th St at Eastern Ave.
0,Slow traffic due to accident on 75th St at 12th Ave.
0,Lane blocked and very slow traffic due to accident on 145th St at Greenwood Ave.
1,Lane blocked and very slow traffic due to accident on I-5 Northbound after Exit 175 WA-523 145th St.
1,Lane blocked and queueing traffic due to accident on I-5 Southbound at Exit 175 WA-523 145th St.
1,Right lane blocked due to accident on I-405 Northbound at I-5.
0,Accident on 127th St both ways at 15th Ave.
0,Accident on Martin Luther King Jr Way both ways at Henderson St.
1,Slow traffic and two right lane blocked due to accident on I-5 Northbound at Exit 175 WA-523 145th St.
0,Accident on Ravenna Blvd near 21st Ave / Park Rd.
0,Accident on Minor Ave between Bellevue Ave / Union St and University St.
1,Left lane blocked due to accident on I-5 Northbound near Exits 168A 168B WA-520.
0,Accident on 2nd Ave near Blanchard St.
0,Accident on 12th Ave at Republican St.
0,Accident on Everett Ave at Boston St.
0,Accident on 67th St near Greenwood Ave.
1,Accident on 107th St at Northgate Way.
0,Accident on Broad St at 5th Ave.
1,Very slow traffic and HOV lane blocked due to accident on I-5 Southbound at Exits 164A 164B I-90.
0,Accident on Broad St Southbound at 5th Ave.
0,Lane blocked and slow traffic due to accident on WA-520 Westbound between 84th Ave and Lake Washington Blvd.
0,Accident on 130th St at Stone Ave.
0,Right lane blocked due to accident on 25th Ave Eastbound at 65th St.
0,Accident on Martin Luther King Jr Way at Bayview St.
0,Accident on Broad St Southbound at 5th Ave.
1,Accident on I-5 Northbound at Exits 153 154A 154AB I-405.
0,Accident on 31st Ave Northbound at Armour St.
0,Accident on Avalon Way near Genesee St.
1,Right lane blocked due to accident on I-5 Northbound at Exit 154B Southcenter Blvd.
0,Accident on WA-99 Aurora Ave at 97th St.
1,Slow traffic due to accident on I-5 Southbound at Exits 161 162 Bailey St.
1,Three lanes blocked and slow traffic due to accident on I-5 Northbound at Exits 166 167 Eastlake Ave.
1,Slow traffic and left lane blocked due to accident on I-5 Northbound near Exits 164 165 165A 165B Cherry St.
1,Right lane blocked due to accident on I-5 Northbound at Exits 166 167 Eastlake Ave.
0,Very slow traffic and right lane blocked due to accident on WA-513 Montlake Blvd Northbound at Pacific St.
1,Very slow traffic and HOV lane blocked due to accident on I-5 Southbound near Exits 153 154A 154AB I-405.
1,Left lane blocked due to accident on I-90 Westbound at Exits 3 3A 3B Rainier Ave.
1,Right lane blocked due to accident on I-5 Southbound at Exit 174 130th St.
0,Accident on 103rd St both ways at Thornton Pl.
0,Accident on WA-99 Aurora Ave Northbound near 100th St.
0,Accident on Corson Ave at Michigan St.
1,Two left lane blocked due to accident on I-5 Southbound near Exits 163 163A 163B Seattle Brg.
1,Three left lane blocked due to accident on I-5 Northbound near Exits 163 163A 163B Seattle Brg.
0,Accident on Corson Ave at Michigan St.
0,Accident on Oregon St at Delridge Way.
0,Accident on Boylston Ave at Olive Way.
0,Accident on Utah Ave at Stacy St.
0,Accident on 1st Ave at Florentia St.
0,Accident on Rainier Ave at Massachusetts St.
0,Accident on 18th Ave at 50th St.
0,Accident on 48th St at Market St.
0,Accident on 12th Ave at Weller St.
0,Lane blocked due to accident on Queen Anne Ave at Mercer St.
0,Lane blocked and very slow traffic due to accident on 1st Ave at Broad St.
0,Accident on Motor Pl near Fremont Ave.
0,Accident on 15th Ave both ways at Emerson St.
1,Slow traffic and HOV lane blocked due to accident on I-5 Southbound before Exit 156 WA-599.
0,Lane blocked and very slow traffic due to accident on 15th Ave at 120th St.
0,Accident on 43rd St both ways at 15th Ave.
0,Accident on Roosevelt Way near 97th St.
0,Accident on 8th Ave at Madison St.
0,Accident on Northgate Way near 5th Ave.
0,Accident on Broad St Southbound at 5th Ave.
0,Accident on Rainier Ave at Massachusetts St.
0,Accident on Rainier Ave at Holly St.
1,Left lane blocked due to accident on WA-520 Westbound near Lake Washington Blvd.
1,Left lane blocked due to accident on I-5 Northbound at Exits 166 167 Eastlake Ave.
0,Accident on 1st Ave at Hudson St.
1,Slow traffic and right lane closed due to accident on I-5 Southbound at Exits 164A 164B I-90.
1,Queueing traffic and center lane blocked due to accident on I-5 Southbound before Exits 166 167 Eastlake Ave.
0,Accident on 16th Ave at Thistle St.
0,Restrictions due to fuel spillage on 4th Ave both ways near Spring St.
1,Queueing traffic and left lane blocked due to accident on I-5 Southbound near 50th St.
0,Accident on 3rd Ave at Yesler Way.
0,Slow traffic due to accident on 3rd Ave at Northgate Way.
0,Accident on WA-513 Montlake Blvd at Pacific St.
0,Accident on Hudson St near 42nd Ave.
0,Accident on WA-99 Marginal Way at Diagonal Ave.
1,Left lane blocked due to accident on I-5 Northbound at Exits 164 165 165A 165B Cherry St.
0,Left lane blocked due to accident on WA-99 Marginal Way Southbound at Nevada St.
0,Accident on 13th Ave at Florida St.
1,Right lane blocked due to accident on I-5 Southbound at Exits 164A 164B I-90.
0,Accident on Broad St Southbound at 5th Ave.
0,Accident on WA-522 Lake City Way at 125th St.
0,Lane blocked and very slow traffic due to accident on Beacon Ave at Angeline St.
0,Accident on 8th Ave at John St.
0,Accident on 4th Ave at Michigan St.
0,Accident on 1st Ave at Cherry St.
0,Accident on Lander St at 1st Ave.
0,Accident on 4th Ave near 2nd Avenue Ext.
0,Accident on Railroad Way at 1st Ave.
0,Accident on Bellevue Pl near Belmont Pl.
0,Accident on Harvard Ave at Seneca St.
1,Accident on I-5 Northbound at Exits 166 167 Eastlake Ave.
1,Right lane blocked due to accident on I-5 Southbound at Exits 168A 168B WA-520.
1,Two lanes blocked and very slow traffic due to accident on I-5 Southbound after Exit 175 WA-523 145th St.
0,Lane blocked and very slow traffic due to accident on Roosevelt Way at Northgate Way.
0,Two lanes blocked and very slow traffic due to accident on Boren Ave Southbound at Marion St.
0,Slow traffic due to accident on 2nd Ave at 40th St.
1,Two lanes blocked and very slow traffic due to accident on I-5 Southbound after Exit 169 7th Ave.
0,Accident on 55th St at 40th Ave.
0,Lane blocked due to accident on 125th St both ways at Phinney Ave.
0,Accident on Rainier Ave at Orcas St.
0,Accident on Denny Way at Boylston Ave.
1,Queueing traffic and left lane blocked due to accident on I-5 Southbound at Exit 169 7th Ave.
1,Two lanes blocked due to accident on I-5 Northbound at Exit 157 WA-900 Martin Luther King Jr Way.
0,Accident on 5th Ave at Union St.
0,Accident on 130th St at Sunnyside Ave.
0,Accident on 39th St both ways at Burke Ave.
0,Accident on Arroyo Beach Pl Southbound at Arroyo Dr.
0,Accident on Broad St Southbound at 5th Ave.
0,Accident on Howe St Northbound at Queen Anne Ave.
1,3 left lane blocked and heavy traffic due to accident on I-5 Southbound before Spokane St.
1,Accident on I-5 Southbound at Exits 166 167 Eastlake Ave.
0,Right lane blocked due to accident on Pike St Eastbound at Hubbell Pl.
1,Two lanes blocked due to accident on I-5 Northbound at Exit 176 175th St.
0,Accident on WA-513 Montlake Blvd Southbound at WA-520.
1,Accident on I-5 Northbound near 50th St.
1,Left lane blocked due to accident on I-5 Northbound near Exits 166 167 Eastlake Ave.
0,Restrictions on entry ramp due to accident on WA-99 Southbound at Michigan St.
0,Accident on WA-99 Alaskan Way Via Northbound at 1st Ave.
0,Two lanes blocked due to accident on 45th St both ways at 17th Ave.
0,Serious accident on 15th Ave both ways at 135th St. Expect delays.
1,One lane blocked due to accident on I-5 Southbound at Exit 156 WA-599.
1,Left lane blocked due to accident on I-90 Westbound between Exit 6 Mercer Way and Exits 3 3A 3B Rainier Ave.
0,Right lane blocked due to accident on Seattle Brg Eastbound near I-5.
0,Accident on California Ave at Stevens St.
0,Lane blocked due to accident on Blanchard St Southbound near 5th Ave.
0,Accident on WA-99 Alaskan Way Via Northbound at Seneca St.
0,Accident on Whitman Ave at Green Lake Way.
1,Two lanes blocked due to accident on I-5 Southbound near Exit 173 1st Ave.
0,Slow traffic due to accident on Albro Pl near Stanley Ave.
0,Accident on 15th Ave at Brockman Pl.
0,Slow traffic and right lane blocked due to accident on 21st Ave Westbound at Emerson Pl.
1,Left lane blocked due to accident on I-5 Northbound after Exits 166 167 Eastlake Ave. In the express lane.
0,Slow traffic and right lane blocked due to accident on 12th Ave Westbound at Jackson St.
1,Slow traffic and left lane blocked due to accident on I-90 Eastbound after Exits 3 3A 3B Rainier Ave.
0,Accident on Occidental Ave near Railroad Way.
0,Slow traffic due to accident on Orcas St at Rainier Ave.
0,Accident on Bellevue Ave near Harrison St.
0,Queueing traffic and left lane blocked due to accident on Martin Luther King Jr Way Northbound at Graham St.
1,Accident on I-5 Southbound at Exit 173 1st Ave.
1,Two lanes blocked and very slow traffic due to accident on I-5 Southbound after Exit 156 WA-599.
0,Accident on Barton St at Westwood Village Ct.
1,Two lanes blocked and very slow traffic due to accident on I-405 Southbound near I-5.
0,Left lane blocked due to accident on WA-518 Eastbound at I-5.
0,Slow traffic and HOV lane blocked due to accident on WA-99 Northbound from WA-509 to Michigan St.
0,Accident on Martin Luther King Jr Way both ways at Graham St.
0,Accident on Rainier Ave at Myrtle St.
0,Accident on Fairview Ave near Valley St.
0,Accident on Denny Way at 5th Ave.
0,Accident on 42nd Ave at 68th St.
1,One lane blocked due to accident on I-5 Southbound at Exit 169 7th Ave.
0,Accident on WA-522 Lake City Way at 120th St.
0,Accident on 80th St at Roosevelt Way.
0,Accident on 120th St at WA-522 Lake City Way.
0,Accident on 42nd Ave at 68th St.
1,Accident on I-5 Southbound at Exits 166 167 Eastlake Ave.
0,Accident on Rainier Ave at 39th Ave.
1,HOV lane blocked due to accident on I-5 Southbound near Exits 166 167 Eastlake Ave.
0,Right lane blocked due to accident on Rainier Ave Southbound at I-90.
1,HOV lane blocked due to accident on I-5 Southbound at Exits 163 163A 163B Seattle Brg.
0,Accident on 130th St near 3rd Ave.
1,Very slow traffic and left lane blocked due to accident on I-5 Southbound after Exit 175 WA-523 145th St.
0,Accident on Martin Luther King Jr Way at Alaska St.
0,Very slow traffic and left lane blocked due to accident on Martin Luther King Jr Way Northbound at Ferdinand St.
0,Right lane blocked due to accident on WA-900 Martin Luther King Jr Way Eastbound at 129th St.
0,Accident on 7th Ave at Findlay St.
0,Accident on Evanston Ave at 46th St.
0,Accident on 23rd Ave at Massachusetts St.
0,Accident on 46th Ave at Admiral Way.
1,Restrictions on exit ramp due to accident on I-5 Southbound at Exit 166 / Stewart St.
1,Right hand shoulder blocked due to accident on I-5 Northbound at Exits 164A 164B I-90.
1,One lane blocked due to accident on I-5 Southbound at Exit 173 1st Ave.
0,Accident on Sand Point Way at 70th St.
1,Right lane blocked due to accident on I-5 Southbound at Exits 166 167 Eastlake Ave.
0,Accident on 1st Ave at 120th St.
0,Accident on 80th St at Corliss Ave.
0,Accident on 15th Ave at Beacon Ave.
0,Accident on 1st Ave at Republican St.
1,Slow traffic and right lane blocked due to accident on I-5 Southbound at Exits 166 167 Eastlake Ave.
0,Accident on 23rd Ave at Columbia St.
0,Accident on 85th St Westbound near 1st Ave.
0,Accident on Rainier Ave at Jackson St.
0,Accident on Hiawatha Pl between Charles St and Dearborn St.
0,Accident on 45th St at 12th Ave.
1,Two left lane blocked due to accident on I-5 Southbound near Exits 166 167 Eastlake Ave.
1,Two lanes blocked due to accident on I-5 Southbound at Exits 166 167 Eastlake Ave.
0,Accident on 28th Ave at Market St.
0,Right lane blocked due to accident on Marion St Eastbound at 5th Ave.
0,Right lane blocked due to accident on Martin Luther King Jr Way Eastbound at Alaska St.
0,Accident on WA-99 Aurora Ave at 125th St.
1,Slow traffic and left lane blocked due to accident on I-5 Southbound at Exit 173 1st Ave.
0,Accident on 23rd Ave at Massachusetts St.
0,Accident on Judkins St at 23rd Ave.
0,Accident on Union St at Martin Luther King Jr Way.
0,Accident on 15th Ave at Lander St.
0,Accident on Massachusetts St at 4th Ave.
0,Accident on John St at Broadway.
0,Accident on 3rd Ave at Blanchard St.
0,Accident on Olive Way at Bellevue Ave.
0,Accident on 54th St near 11th Ave.
0,Accident on Stewart St at Boren Ave.
0,Accident on 9th Ave at Jefferson St.
0,Accident on 9th Ave at Spring St.
0,Accident on Erskine Way near Lewis Pl.
0,Accident on WA-509 Southbound at Cloverdale St.
1,Queueing traffic and shoulder blocked due to accident on I-5 Northbound at Exits 164A 164B I-90.
1,Restrictions on entry ramp due to accident on I-5 Southbound at Seattle Brg.
1,Right lane blocked due to accident on I-5 Southbound at Exits 163 163A 163B Seattle Brg.
1,Three lanes blocked due to accident on I-5 Southbound at Exits 163 163A 163B Seattle Brg.
0,Two lanes blocked due to accident on 4th Ave Northbound at Virginia St.
0,Accident on Martin Luther King Jr Way at Union St.
0,Accident on 38th Ave near Othello St.
0,Accident on 50th Ave at Adams St.
0,Very slow traffic and right lane blocked due to accident on WA-99 Aurora Ave Northbound near Aurora Ave.
0,Accident on 6th Ave at Yesler Way.
0,Slow traffic and right lane blocked due to accident on WA-900 Martin Luther King Jr Way Westbound at 64th Ave.
0,Accident on Leary Way at 42nd St.
1,HOV lane blocked due to accident on I-5 Southbound at Exits 153 154A 154AB I-405.
1,3 left lane blocked due to accident on I-5 Southbound after I-90.
1,Lane blocked due to accident on I-90 Westbound at Exits 2B 2C I-5.
0,Accident on Renton Ave both ways at 132nd St.
1,Accident on I-5 Northbound at Exits 177 178 WA-104 244th St.
0,Left lane blocked due to accident on WA-99 Northbound at 1st Ave.
0,Accident on 12th Ave at 45th St.
0,Right lane blocked due to accident on WA-523 145th St Eastbound at I-5.
1,Accident on I-5 Southbound at Exits 168A 168B WA-520.
1,Right lane blocked due to accident on I-5 Northbound at Exit 154B Southcenter Blvd.
0,Accident on Union St at 14th Ave.
1,Right hand shoulder blocked due to accident on I-5 Northbound at Exits 164 165 165A 165B Cherry St.
0,Accident on 15th Ave at Atlantic St.
1,Accident on I-5 Northbound near Exits 168A 168B WA-520.
1,Two lanes blocked due to accident on I-5 Northbound at Exit 169 7th Ave.
0,Accident on 81st St at WA-99 Aurora Ave.
1,HOV lane blocked due to accident on I-5 Northbound near Exits 161 162 Bailey St.
0,Accident on 4th Ave at Spokane St.
1,Lane blocked on entry ramp and slow traffic due to accident on I-5 Southbound at Exit 156 WA-599.
0,Accident on Pike St at Boylston Ave.
0,Accident on Graham St in Seattle.
0,Accident on Madison St at Boren Ave.
0,One lane blocked due to accident on Fauntleroy Way Eastbound at 35th Ave.
0,Accident on Barton St at 38th Ave.
0,Accident on 38th Ave at Barton St.
0,Accident on 51st St at Woodlawn Ave.
1,Right lane blocked and right hand shoulder blocked due to accident on I-5 Southbound at Exit 169 7th Ave.
0,Accident on 35th Ave at 94th St.
0,Accident on 92nd St at 35th Ave.
1,Restrictions on exit ramp due to accident on I-5 Southbound at Exit 165 / James St.
1,Restrictions on entry ramp due to accident on I-5 Northbound at Exit 165 / James St.
0,Accident on Seattle Brg Westbound at 35th Ave.
0,Accident on 3rd Ave at 75th St.
0,Lane blocked due to accident on 3rd Ave Southbound near Union St.
0,Accident on Broad St at 5th Ave.
1,Left lane blocked due to accident on I-5 Northbound near Exits 164 165 165A 165B Cherry St.
1,Lane blocked and very slow traffic due to accident on I-5 Southbound at Exit 174 130th St.
0,Accident on 16th Ave at 77th St.
0,Accident on 130th St at Stone Ave.
0,Accident on 17th Ave at Spokane St.
0,Accident on 1st Ave at Seattle Brg.
0,Accident on Henderson St at Renton Ave.
0,Slow traffic due to accident on Martin Luther King Jr Way both ways around Henderson St. Approach with care. On the median.
0,Accident on California Ave at Alaska St.
0,Accident on Bennett St at 15th Ave.
0,Accident on Martin Luther King Jr Way at Hudson St.
0,Accident on Airport Way at Holgate St.
0,Accident on 35th St at Stone Way.
1,Left lane blocked due to accident on I-5 Southbound at Exit 173 1st Ave.
0,Accident on 35th St at Stone Way.
0,Right lane blocked due to accident on 73rd St Southbound at 15th Ave.
0,Accident on 14th Ave at Ballard Way.
0,Accident on 4th Ave at 130th St.
0,Accident on Queen Anne Ave at Aloha St.
0,Lane blocked and very slow traffic due to accident on Corson Ave at Bailey St.
0,Lane blocked due to accident on Spring St Southbound near 5th Ave.
0,Accident on Broad St Southbound at 5th Ave.
1,Lane blocked on entry ramp and very slow traffic due to accident on I-5 Southbound near Exits 153 154A 154AB I-405.
1,Lane blocked and very slow traffic due to accident on I-5 Northbound before Exit 171 WA-522 Lake City Way.
0,Accident on 1st Ave both ways at Battery St.
0,Accident on 8th Ave both ways at 85th St.
0,Accident on Rainier Ave at Alaska St.
0,Accident on Boren Ave at Pike St.
0,One lane blocked due to accident on Columbia St Northbound at WA-99 Alaskan Way Via.
0,Accident on 4th Ave both ways at Holgate St.
0,Right lane blocked due to accident on 15th Ave Northbound at 61st St.
0,Accident on Martin Luther King Jr Way at Cloverdale St.
0,Accident on 130th St at Linden Ave.
0,Accident on 12th Ave at Madison St.
0,Accident on 1st Ave at Dakota St.
0,Accident on Avalon Way at 35th Ave.
0,Accident on Rainier Ave at College St.
0,Accident on Delridge Way at Sylvan Way.
1,Very slow traffic and right lane blocked due to accident on I-5 Southbound before Exit 173 1st Ave.
0,Accident on 16th Ave at Dravus St.
0,Accident on 48th Ave at Austin St.
0,Slow traffic due to accident on 65th St near 7th Ave.
0,Accident on Airport Way at Nebraska St.
0,Slow traffic due to accident on Othello St at Martin Luther King Jr Way.
1,Right lane blocked due to accident on I-5 Southbound at Exit 157 WA-900 Martin Luther King Jr Way.
0,Accident on Linden Ave both ways at 130th St.
0,Accident on Latona Ave both ways at 59th St.
0,Heavy traffic due to accident on 12th Ave Northbound at Pine St.
0,Accident on Cherry St both ways at 6th Ave.
0,Fuel spillage on Eastern Ave near 50th St.
1,Accident on I-5 Northbound at Exits 164 165 165A 165B Cherry St.
0,Accident on 20th Ave at 75th St.
1,Two lanes blocked due to accident on I-5 Northbound near I-5 Exits 164A 164B / 4th Ave.
0,Accident on 84th St at Roosevelt Way.
0,Right lane blocked due to accident on WA-520 Westbound after Lake Washington Blvd.
0,Accident on Boren Ave at Union St.
0,Accident on 46th St at 3rd Ave.
1,One lane blocked due to accident on I-5 Southbound at Exit 173 1st Ave.
1,Accident on I-5 Southbound at Exits 153 154A 154AB I-405.
0,Accident on Roxbury St at 17th Ave.
0,Accident on Renton Ave at Henderson St.
0,Accident on Boren Ave at Pine St.
0,Accident on Harrison St at Fairview Ave.
0,Accident on 25th Ave at Henderson St.
0,Accident on WA-99 International Blvd at 204th St.
0,Accident on Bell St at WA-99 Alaskan Way Via.
0,Two lanes blocked and very slow traffic due to accident on Stewart St Westbound at Boren Ave.
0,Right lane blocked due to accident on Pine St Eastbound at Boren Ave.
0,Right lane blocked due to accident on Boren Ave Southbound at Pine St.
1,Right lane blocked due to accident on I-5 Northbound at Exits 166 167 Eastlake Ave.
1,HOV lane blocked due to accident on I-5 Northbound at Seattle Brg.
0,Accident on Edmunds St at Rainier Ave.
0,Accident on 34th Ave near Hanford St.
0,Two lanes blocked due to accident on Market St Eastbound at 14th Ave.
0,Slow traffic and right lane blocked due to accident on King St Southbound at 12th Ave.
0,Accident on 8th Ave at 70th St.
1,Very slow traffic and left lane blocked due to accident on I-5 Northbound at Exits 161 162 Bailey St.
1,Slow traffic and center lane blocked due to accident on I-5 Northbound at Exit 173 1st Ave. In the express lane.
0,Accident on Beacon Ave at Forest St.
0,Slow traffic due to accident on Rainier Ave at Orcas St.
0,Very slow traffic and right lane blocked due to accident on Rainier Ave Northbound at Oregon St.
0,Accident on 41st Ave at 40th St.
