Label,Description
1,Accident on I-75 Northbound at Exits 248C 248D I-85 I-75.
1,Accident on I-75 Southbound at Exits 250 251 I-85.
0,Accident on US-23 Moreland Ave at Seaboard Ave.
0,Accident on GA-400 Southbound at Exits 3 4A I-285.
1,Accident on I-285 Westbound at Exit 29 Ashford Dunwoody Rd.
1,Delays due to accident on I-75 Northbound at I-85 I-75.
1,Two lanes blocked and queueing traffic due to accident on I-285 Northbound at Exits 19 20 US-41 Cobb Pkwy.
1,Queueing traffic due to accident on I-285 Southbound after Exits 33 34 Chamblee Tucker Rd.
0,Slow traffic due to accident on GA-400 Northbound at Exits 5 5A 5B Abernathy Rd.
1,Left hand shoulder blocked due to multi-vehicle accident on I-85 Southbound before Exit 66 Flat Shoals Rd.
1,Queueing traffic and Right lane blocked due to accident on I-285 Northbound at Exits 19 20 US-41 Cobb Pkwy.
1,1st lane blocked due to accident on I-75 Northbound at Exits 258 259A Cumberland Blvd.
1,Accident on I-75 I-85 Southbound before Exits 246 248A I-20.
1,Accident on I-285 Southbound at I-85.
1,Accident on I-285 Westbound before I-75.
1,Right lane blocked and right hand shoulder blocked due to accident on I-20 Westbound before Exit 54 Langhorn St.
1,Accident on I-285 Westbound before Exit 60 GA-139 Riverdale Rd.
0,Accident on GA-14 Spur Eastbound at I-85.
1,Delays due to accident box truck involved on I-285 Eastbound at S Fulton Pkwy.
1,Right hand shoulder blocked due to accident on I-285 Southbound at Exit 18 Paces Ferry Rd.
1,Accident on I-75 Southbound at GA-166 Langford Pkwy.
0,Accident on Piedmont Ave at 12th St.
1,4 of 4 lane blocked due to accident on I-20 Westbound before GA-139 Martin Luther King Jr Dr.
0,Accident on Campbellton Rd at Childress Dr.
1,Right hand shoulder blocked due to accident on I-285 Westbound after Exits 31A 31B GA-141 Peachtree Industrial Blvd.
0,Accident on Courtland St at US-29 North Ave.
1,Delays due to accident on I-285 Westbound at Buford Hwy.
0,Accident on GA-237 Piedmont Rd at Peachtree Dr.
1,Accident on US-23 Moreland Ave at Confederate Ave.
1,Left hand shoulder blocked due to accident on I-285 Westbound before Exits 33 34 Chamblee Tucker Rd.
1,Second left lane blocked due to accident on I-75 Northbound at GA-54 University Ave.
1,Accident on I-75 Northbound at Abernathy Blvd.
1,Second left lane blocked due to accident on I-75 Northbound at I-Central Ave.
1,Two Left lane closed due to accident on I-75 Northbound before I-85 I-75.
0,Three Left lane closed due to accident on GA-400 Northbound before Exit 6 Northridge Rd.
1,Delays due to accident on I-20 Westbound at Exits 56B 57 I-85 I-75.
0,Three Left lane closed due to accident on GA-400 Northbound near Exits 5 5A 5B Abernathy Rd.
1,Three Left lane closed due to accident on I-285 Westbound at Exit 25 US-19.
1,Left lane closed due to accident on I-285 Northbound at Exits 19 20 US-41 Cobb Pkwy.
1,Two lanes blocked and queueing traffic due to accident on I-75 Southbound after Exit 254 Moores Mill Rd.
1,Queueing traffic and Right lane blocked due to accident on I-85 Northbound at Exits 95 95A 95B 96 I-285.
1,Queueing traffic and Center lane blocked due to accident on I-85 I-75 Southbound at Exit 248B I-75.
1,1st lane blocked due to multi-vehicle accident on I-20 Westbound before Exits 52 52A 52B Burton Rd.
0,Queueing traffic due to accident on Powers Ferry Rd Northbound at US-19 Roswell Rd.
1,Queueing traffic and 3rd lane blocked due to accident on I-75 Southbound at Exits 238B 239 Charles W Grant Pkwy.
1,Three lanes blocked due to accident on I-75 Southbound at Exits 246 248A I-20.
1,Accident on I-75 Northbound before Exits 250 251 I-85.
0,Accident on North Ave both ways at Boulevard.
0,Accident on Bolton Rd both ways at Hollywood Rd.
1,Accident on I-75 Northbound at Exits 251 252A 252B US-41 Northside Dr.
0,Accident on Monroe Dr at Piedmont Ave.
0,Accident on Peachtree St at 10th St.
0,Accident on Cascade Rd both ways at Lynhurst Dr.
0,Accident on GA-237 Piedmont Rd both ways at Peachtree Dr.
0,Accident on US-19 Peachtree Rd at GA-141 Peachtree Rd.
0,Accident on Blackland Rd at US-19 Roswell Rd.
0,Accident on GA-236 Lindbergh Dr both ways at GA-237 Piedmont Rd.
0,Accident on GA-166 Campbellton Rd at Barge Rd.
0,Accident on Palisades Rd at US-19 Peachtree St.
0,Accident on GA-400 Southbound at Exit 2 Lenox Rd.
1,Three lanes blocked due to accident on I-285 Eastbound after Exits 32 33A US-23 Buford Hwy.
1,Lane blocked due to accident on I-75 Northbound at Exits 248C 248D I-85 I-75.
1,Three lanes blocked due to accident on I-285 Eastbound at Exits 33 34 Chamblee Tucker Rd.
1,Lane blocked and right hand shoulder blocked due to accident on I-20 Eastbound after Exit 56A McDaniel St.
1,Left hand shoulder blocked due to accident on I-20 Westbound at Exits 56B 57 I-85 I-75.
1,Accident on I-285 Northbound at Exits 5A 5B GA-154 Arthur Langford Pkwy.
1,Accident on I-85 Northbound at Exit 75 Central Ave.
1,Accident on I-285 Westbound at Exits 32 33B I-85.
1,Accident on I-285 Northbound at Exits 5A 5B GA-154 Arthur Langford Pkwy.
1,Accident on I-85 Northbound at Exit 76 Cleveland Ave.
1,Accident on I-285 Westbound at Exits 61 62 I-85.
1,Accident on I-20 Westbound at Exits 56B 57 I-85 I-75.
1,Accident on I-20 Westbound at Exits 60 60A 60B US-23 Moreland Ave.
1,Accident on I-285 Northbound at Exits 33 34 Chamblee Tucker Rd.
1,Accident on I-285 Northbound between Exits 5A 5B GA-154 Arthur Langford Pkwy and Exit 2 GA-6 Camp Creek Pkwy.
1,Accident on I-285 Westbound at Exits 61 62 I-85.
1,Accident on I-20 Westbound at Exit 61B GA-260 Glenwood Ave.
1,Accident on I-285 Northbound at Exit 20 I-75.
1,Accident on I-75 Southbound at Exit 254 Moores Mill Rd.
1,Accident on I-285 Southbound at Exit 9 GA-139 Martin Luther King Jr Dr.
0,Accident on GA-154 Arthur Langford Pkwy Westbound between GA-166 Arthur Langford Pkwy and Delowe Dr.
1,Accident on I-85 Southbound at Exits 86 87 GA-400.
1,Accident on I-20 Eastbound at Exits 56B 57 I-85 I-75.
1,Accident on I-285 Eastbound at Exit 51 Bouldercrest Rd.
0,Accident on GA-400 Southbound at Exit 2 Lenox Rd.
1,Accident on I-285 Westbound at Exit 51 Bouldercrest Rd.
0,Accident on GA-141 Peachtree Rd at Tower Place Dr.
0,Accident on GA-10 Freedom Pkwy at US-29 Ponce de Leon Ave.
0,Accident on GA-139 Martin Luther King Jr Dr at I-20.
1,Accident on I-20 Eastbound at Exit 56A McDaniel St.
1,Accident on I-85 I-75 Southbound at Exit 249D I-75.
1,Accident on I-85 Southbound at Exits 95 95A 95B 96 I-285.
1,Right hand shoulder blocked due to accident on I-85 I-75 Southbound at Exit 248B I-75.
1,Left hand shoulder blocked due to accident on I-75 Southbound at Exits 248C 248D I-85 I-75.
1,Lane blocked due to accident on I-285 Eastbound at Exit 20 I-75.
1,Accident on I-285 Southbound at Exit 36 Northlake Pkwy.
1,Two lanes blocked and left hand shoulder blocked due to accident on I-20 Westbound at Exits 60 60A 60B US-23 Moreland Ave.
1,RX lane blocked due to accident on I-20 Eastbound at Exits 56B 57 I-85 I-75.
1,Lane blocked due to accident on I-85 Southbound at Exit 76 Cleveland Ave.
1,Lane blocked due to accident on I-285 Southbound after Exits 5A 5B GA-154 Arthur Langford Pkwy.
1,Lane blocked due to accident on I-85 Northbound at I-75.
0,Lane blocked due to accident on GA-400 Southbound at Exits 3 4A I-285.
1,Left hand shoulder blocked due to accident on I-20 Eastbound at Exits 56B 57 I-85 I-75.
1,Right hand shoulder blocked due to accident on I-85 Northbound at Exits 86 87 GA-400.
1,Left hand shoulder blocked due to accident on I-85 Southbound at Exit 66 Flat Shoals Rd.
1,Two left lane blocked due to accident on I-285 Northbound at Exit 2 GA-6 Camp Creek Pkwy.
1,Accident on I-85 Southbound after Exits 70 71 GA-139 Riverdale Rd.
1,Accident on I-20 Eastbound at I-85 I-75.
1,Accident on I-75 Southbound at US-41 Northside Dr.
1,Shoulder blocked on exit ramp due to accident on I-85 Southbound at I-75.
1,Left lane blocked due to accident on I-20 Eastbound before GA-280 Hamilton E Holmes Dr.
1,Left lane blocked due to accident on I-20 Eastbound at I-75.
1,Left lane blocked due to accident on I-20 Westbound before Exit 53 GA-139 Martin Luther King Jr Dr.
0,Accident on Cleveland Ave at US-41 Metropolitan Pkwy.
1,Right lane blocked due to accident on I-285 Westbound at Exit 22 New Northside Dr.
1,Accident on I-85 Southbound at 17th St.
1,Right hand shoulder blocked due to accident on I-285 Westbound after Exit 24 Riverside Dr.
1,Accident on I-75 Northbound at Porsche Ave.
1,Center lane blocked due to accident on I-85 Southbound at I-75.
1,Two left lane blocked due to accident on I-75 Southbound at North Ave.
1,Second left lane blocked due to accident on I-85 Southbound after Exits 86 87 GA-400.
1,Accident on I-75 Southbound at Exit 252 Howell Mill Rd.
0,Accident on GA-237 Piedmont Rd at Morosgo Dr.
0,Right lane blocked and right hand shoulder blocked due to accident on GA-14 Northbound at Mallory Rd.
1,Two left lane blocked due to accident on I-285 Eastbound before Exit 12 US-278 Donald Lee Hollowell Pkwy.
0,Accident on GA-400 at Exit 2 Lenox Rd.
0,Accident on GA-141 Peachtree Rd Westbound at Lenox Rd.
1,Accident on I-20 Westbound at I-285.
1,Right lane blocked and right hand shoulder blocked due to accident on I-75 Southbound before North Ave.
1,Accident on I-85 Southbound at Exit 89 GA-42 Druid Hills Rd.
1,Right lane blocked and right hand shoulder blocked due to accident on I-75 Southbound at 14th St.
1,Accident on I-75 Southbound at Exits 251 252A 252B US-41 Northside Dr.
1,Right hand shoulder blocked due to accident on I-85 Southbound at I-75.
0,Accident on Peachtree St at 14th St.
1,Delays due to accident on I-20 Eastbound at I-285.
0,Accident on US-29 Lee St at Campbellton Rd.
1,Right hand shoulder blocked due to accident on I-75 Northbound at 10th St.
1,Left lane blocked due to accident on I-75 Northbound before Edgewood Ave.
0,Accident on Boulevard at Sydney St.
1,Accident on I-20 Westbound at Exit 52A / GA-280 Hamilton E Holmes Dr.
1,Accident on I-75 Southbound at Exits 241 243 I-85.
1,Accident on I-85 Northbound at Exits 84 85 I-75.
0,Accident on Capitol Ave at Fulton St.
1,Accident on I-75 Southbound at Exit 254 Moores Mill Rd.
1,One lane blocked due to accident on I-285 Southbound at Exits 9 10A 10B I-20.
1,Middle lane blocked due to accident on I-20 Eastbound at Exits 59A 59B Boulevard.
1,Left lane blocked due to accident on I-20 Eastbound at Exit 49 GA-70 Fulton Industrial Blvd.
1,Left hand shoulder blocked due to accident on I-75 Northbound at Exits 250 251 I-85.
0,Accident on Boulevard at Custer Ave.
1,Queueing traffic and left hand shoulder blocked due to accident now on the shoulder on I-75 Southbound at Exit 255 Paces Ferry Rd.
0,Queueing traffic and left hand shoulder blocked due to accident now on the shoulder on GA-400 Northbound at Exit 2 Lenox Rd.
1,Slow traffic due to accident on I-285 Northbound at Exits 5A 5B GA-154 Arthur Langford Pkwy.
1,Accident on I-75 Northbound at Exits 258 259A Cumberland Blvd.
0,Queueing traffic and (Three) right lane blocked due to accident on GA-400 Southbound at Exits 5 5A 5B Abernathy Rd.
1,Slow traffic and (two) left lane blocked due to accident on I-75 Northbound at Exit 256 US-41 Northside Pkwy.
1,Lane blocked and queueing traffic due to accident on I-85 Southbound before Exit 72 Airport Blvd.
1,Queueing traffic due to accident on I-285 Eastbound before Exits 33 34 Chamblee Tucker Rd.
0,Accident on North Ave at Lake Ave.
1,Accident on I-285 Eastbound at Exits 19 20 US-41 Cobb Pkwy.
1,Lane blocked on exit ramp due to accident on I-20 Eastbound at Exits 56B 57 I-85 I-75.
1,Two lanes blocked due to accident on I-285 Southbound at Exits 32 33B I-85.
1,3 of 4 lane blocked due to accident on I-85 Southbound at Exit 76 Cleveland Ave.
1,Right lane blocked due to accident on I-285 Westbound after Clark Howell Hwy.
1,Accident on I-85 Southbound at Exit 77 US-41 Metropolitan Pkwy.
1,Accident on I-20 Westbound at Exits 51A 51B I-285.
1,Lane blocked on exit ramp due to accident on I-20 Eastbound at Exits 56B 57 I-85 I-75.
0,Accident on 26th St at US-19 Peachtree St.
1,Left hand shoulder blocked and right hand shoulder blocked due to accident on I-20 Eastbound at Exits 56B 57 I-85 I-75.
1,Shoulder blocked on exit ramp due to accident on I-85 Northbound at GA-6 Camp Creek Pkwy.
1,Accident on GA-139 Martin Luther King Jr Dr at Nathan Rd.
1,Accident on Sidney Marcus Blvd at GA-237 Piedmont Rd.
0,4 of 5 lane blocked due to accident on US-23 Buford Hwy Southbound after Pleasantdale Rd.
1,Right lane blocked due to accident on I-285 Westbound at Exits 33 34 Chamblee Tucker Rd.
1,Accident on I-75 Southbound at Exit 252 Howell Mill Rd.
0,Accident on Georgia Ave at Capitol Ave.
1,Accident on I-85 Northbound at Piedmont Rd.
1,Right hand shoulder blocked due to accident on I-285 Northbound at Exit 9 GA-139 Martin Luther King Jr Dr.
1,Right hand shoulder blocked due to accident on I-285 Eastbound at Exit 20 I-75.
0,Accident on Moores Mill Rd at Bolton Rd.
1,Right hand shoulder blocked due to accident on I-285 Eastbound at Exit 60 GA-139 Riverdale Rd.
0,Accident on Ponce de Leon Ave at Oakdale Rd.
1,Accident on I-75 Southbound at Exit 254 Moores Mill Rd.
0,Accident on Cascade Rd at Adams Dr.
1,Accident on I-85 Southbound at Lindbergh Dr.
0,Accident on US-23 Moreland Ave at Blue Ridge Ave.
1,Accident on I-85 Southbound before Exit 91 Northeast Expy.
1,Two left lane blocked due to accident on I-75 Southbound after 14th St.
1,Second left lane blocked due to accident on I-75 Northbound at 17th St.
0,Accident on GA-42 Briarcliff Rd at US-23 Moreland Ave.
1,Left lane blocked due to accident on I-20 Eastbound at Exit 55A Oak St.
1,Accident on I-85 Southbound before Exit 77 US-41 Metropolitan Pkwy.
1,Second right lane blocked due to accident on I-85 Southbound before Exit 91 Northeast Expy.
0,Accident on US-19 Peachtree St at US-19 Spring St.
0,One lane blocked due to accident on GA-400 Northbound at I-285.
0,Accident on US-78 Donald Lee Hollowell Pkwy Westbound at I-285.
1,Accident on I-75 Southbound near GA-10 Freedom Pkwy.
1,Right lane blocked and right hand shoulder blocked due to accident on I-285 Eastbound after Exit 20 I-75.
1,Shoulder blocked on exit ramp and lane blocked on exit ramp due to accident on I-75 Northbound at GA-166 Langford Pkwy.
1,HOV lane blocked due to accident on I-85 Southbound at GA-13 Buford Hwy.
0,Accident on Capitol Ave at Fulton St.
1,Right hand shoulder blocked due to accident on I-85 Southbound after Exit 89 GA-42 Druid Hills Rd.
1,Left lane blocked due to accident on I-285 Eastbound at Exit 20 I-75.
1,Right hand shoulder blocked due to accident on I-85 Southbound at Exit 89 GA-42 Druid Hills Rd.
1,Accident on I-75 Southbound at Exit 244 I-85 I-75.
1,Right lane blocked and right hand shoulder blocked due to accident on I-75 Southbound at Exits 259 260 Windy Hill Rd.
1,Right lane blocked and right hand shoulder blocked due to accident on I-75 Southbound at I-285.
0,Accident on North Ave at GA-10 Freedom Pkwy.
1,Shoulder blocked on exit ramp due to accident on I-285 Westbound at I-75.
1,Right hand shoulder blocked due to accident on I-285 Eastbound before I-75.
1,Right hand shoulder blocked due to accident on I-75 Northbound at Exits 246 248A I-20.
1,Right hand shoulder blocked due to accident on I-85 Northbound after Exits 86 87 GA-400.
1,Accident on I-285 Southbound at Greenbriar Pkwy.
0,Accident on Peachtree St at 17th St.
1,One lane blocked due to accident on I-85 I-75 Southbound at Exit 250 I-75.
0,Accident on GA-141 Peachtree Rd at Maple Dr.
1,Accident on I-85 I-75 Northbound at Exit 248B I-75.
1,Accident on I-20 Eastbound at I-75 Exit 247.
1,Three lanes blocked due to accident on I-285 Westbound at Exit 29 Ashford Dunwoody Rd.
1,Accident on I-285 Northbound at Exits 5A 5B GA-154 Arthur Langford Pkwy.
1,Right hand shoulder blocked due to accident on I-85 Southbound at Exits 68 69A 69B I-285.
0,Accident on Beechwood Dr at US-41 Northside Pkwy.
1,Accident on I-20 Eastbound at Exit 56A McDaniel St.
1,Right hand shoulder blocked due to accident on I-75 Southbound before Exits 250 251 I-85.
0,Accident on GA-400 Northbound at Exit 2 Lenox Rd.
0,Accident on US-23 Moreland Ave at I-20.
1,Right lane blocked due to accident on I-285 Northbound at Exit 2 GA-6 Camp Creek Pkwy.
0,Accident on US-29 Ponce de Leon Ave near Ponce de Leon Pl.
1,Right hand shoulder blocked due to accident on I-75 Northbound before Exit 254 Moores Mill Rd.
1,Queueing traffic and right hand shoulder blocked due to accident now on the shoulder on I-285 Southbound at Exit 13 Bolton Rd.
1,Queueing traffic and 4th lane blocked due to accident on I-20 Eastbound at Exits 51A 51B I-285.
0,Accident on Cleveland Ave at US-41 Metropolitan Pkwy.
1,Center lane blocked due to accident on I-20 Westbound before Exit 56A McDaniel St.
0,Delays due to accident motorcycle involved on US-29 Ponce de Leon Ave at Barnett St.
1,Heavy traffic due to accident on I-20 Eastbound at Joseph E Lowery Blvd.
0,Accident on 10th St at Hemphill Ave.
1,Accident on US-19 Peachtree St at 25th St.
1,Delays due to accident on I-75 Northbound at GA-10 Freedom Pkwy.
1,Right hand shoulder blocked due to accident on I-75 Northbound at 10th St.
0,Accident on Fairburn Rd at Mays Xing.
1,Right lane blocked due to accident on I-285 Southbound at Exits 19 20 US-41 Cobb Pkwy.
1,Queueing traffic and left hand shoulder blocked due to accident now on the shoulder on I-75 Southbound at I-85 I-75 Exit 249D / Williams St.
1,Center lane blocked due to accident on I-75 Northbound before I-85 I-75 Exit 246 / Ralph David Abernathy Blvd SW.
0,Accident on US-29 Lee St at Campbellton Rd.
1,Queueing traffic and (two) right lane blocked due to accident on I-75 Northbound at Exit 244 I-85 I-75.
1,Accident on I-75 Northbound at Exit 246 / I-75 / Central Ave.
1,Accident on I-75 Southbound at Exits 249C 249D I-85 I-75.
1,Left hand shoulder blocked due to accident on I-75 Southbound before Exits 246 248A I-20.
0,Accident on US-19 Peachtree Rd at Pharr Rd.
1,Accident on I-75 Northbound at I-85 I-75.
1,Slow traffic due to accident on I-285 Eastbound before Exits 31A 31B GA-141 Peachtree Industrial Blvd.
1,Accident on I-285 Northbound at Exit 9 GA-139 Martin Luther King Jr Dr.
0,Accident on US-19 Peachtree Rd at Wesley Rd.
1,Queueing traffic and left lane blocked due to accident on I-285 Westbound at Exit 20 I-75.
1,Queueing traffic and shoulder blocked due to accident on I-20 Eastbound before Exit 55A Oak St.
1,Three lanes blocked and queueing traffic due to accident on I-75 Northbound at I-75 Exits 250 251 / 17t St NW.
1,Queueing traffic and (two) left lane blocked due to accident on I-75 Northbound at I-75 Exits 250 251 / 14th St NW.
1,Slow traffic and Center lane blocked due to accident on I-285 Eastbound at Exits 31A 31B GA-141 Peachtree Industrial Blvd.
0,Queueing traffic and right hand shoulder blocked due to accident on GA-400 Southbound at Exits 5 5A 5B Abernathy Rd.
1,Two lanes blocked due to accident on I-20 Westbound at Exit 55A Oak St.
1,3 of 4 lane blocked due to accident on I-285 Northbound before Exit 7 Cascade Rd.
1,Accident on I-285 Northbound after GA-154 Arthur Langford Pkwy.
1,Second right lane blocked due to accident on I-285 Northbound at Exit 7 Cascade Rd.
1,Second left lane blocked due to accident on I-285 Northbound at Exits 5A 5B GA-154 Arthur Langford Pkwy.
1,Right hand shoulder blocked due to accident on I-75 Northbound at Exit 239 US-41 Central Ave.
0,Right hand shoulder blocked due to accident on GA-9 Westbound at I-285.
1,Accident on I-75 Northbound at Exit 241 Cleveland Ave.
1,Delays due to accident on I-285 Northbound at Exits 33 34 Chamblee Tucker Rd.
0,Accident on Peachtree Way at US-19 Peachtree Rd.
1,Accident on I-285 Southbound before Northcrest Rd.
1,Accident on I-75 Southbound at 17th St.
0,Accident on Martin Luther King Jr Dr at Hill St.
1,Right lane blocked due to accident on GA-400 Northbound after Exit 6 Northridge Rd.
1,Right hand shoulder blocked due to accident on I-85 Northbound at GA-166 Langford Pkwy.
0,Accident on Tower Place Dr at Lenox Rd.
1,Slow traffic and right hand shoulder blocked due to accident now on the shoulder on I-75 Southbound at I-85 I-75.
1,Queueing traffic and 3rd lane blocked due to accident on I-75 Northbound at Exits 251 252A 252B US-41 Northside Dr.
0,Lane blocked and queueing traffic due to accident on GA-400 Southbound before Exits 1A 1B Sidney Marcus Blvd.
0,(partially) 1st lane blocked and left hand shoulder blocked due to accident on GA-400 Northbound at Exits 5 5A 5B Abernathy Rd.
1,Right hand shoulder blocked due to accident on I-75 Southbound at Exits 246 248A I-20.
0,Accident on US-29 Ponce de Leon Ave at US-23 Moreland Ave.
0,Accident on GA-42 Briarcliff Rd Southbound at Johnson Rd.
1,Left lane blocked due to accident on I-285 Southbound after GA-14 Spur.
1,Left lane blocked due to accident on I-285 Southbound at I-85.
0,Accident on Confederate Ave at Boulevard.
1,Left hand shoulder blocked due to accident on I-85 Northbound at Exit 88 Cheshire Bridge Rd.
0,Second right lane blocked due to accident on GA-400 Northbound after Exit 6 Northridge Rd.
1,Accident on I-20 Eastbound at Exits 51A 51B I-285.
0,Accident on GA-400 at Exits 1A 1B Sidney Marcus Blvd.
0,Accident on Pharr Rd at US-19 Peachtree Rd.
1,Second left lane blocked due to accident on I-75 Northbound at Edgewood Ave.
1,Right hand shoulder blocked due to accident on I-20 Eastbound at Exit 61B GA-260 Glenwood Ave.
0,Accident on US-19 Roswell Rd at Sheldon Dr.
1,Right hand shoulder blocked due to accident on I-85 Northbound at Exits 86 87 GA-400.
1,Accident on I-75 Southbound at Exit 241 Cleveland Ave.
0,Right hand shoulder blocked due to accident on GA-400 Southbound before Exits 5 5A 5B Abernathy Rd.
1,Center lane blocked due to accident on I-285 Northbound before Exit 18 Paces Ferry Rd.
0,Two lanes blocked due to accident on US-29 Peters St both ways at GA-154 Peters St.
0,Accident on US-19 Roswell Rd Northbound at Wieuca Rd.
1,Right hand shoulder blocked due to accident on I-285 Eastbound at US-19 Roswell Rd.
0,Accident on US-23 Moreland Ave near Confederate Ave.
1,Accident on I-285 Southbound at Exits 9 10A 10B I-20.
1,Lane blocked on entry ramp due to accident on I-285 Westbound at Exit 58 US-41 Old Dixie Rd.
1,Accident on I-285 Westbound at Exits 32 33B I-85.
1,Accident on I-85 Southbound at Exits 68 69A 69B I-285.
0,Accident on GA-154 Arthur Langford Pkwy at Campbellton Rd.
1,Queueing traffic and 5th lane blocked due to accident on I-75 Northbound before Exits 251 252A 252B US-41 Northside Dr.
1,Accident on I-75 Northbound after I-85 I-75 Exits 251 251A 251B / 17th St NW.
1,Right hand shoulder blocked due to accident on I-75 Southbound at Exits 248C 248D I-85 I-75.
1,Accident on I-20 Westbound at Exits 56B 57 I-85 I-75.
1,Accident on US-29 Ponce de Leon Ave at US-23 Moreland Ave.
1,Two lanes blocked due to accident on I-75 Southbound at Exits 259 260 Windy Hill Rd.
0,Accident on US-19 Peachtree Rd at Buckhead Ave.
0,Accident on GA-237 Piedmont Rd at GA-236 Lindbergh Dr.
1,Right hand shoulder blocked due to accident on I-85 I-75 Northbound at Exit 250 I-75.
1,Two lanes blocked due to accident on I-20 Westbound at Exits 58A 58B Hill St.
1,Lane blocked due to accident on I-85 I-75 Northbound at Exit 250 I-75.
1,Lane blocked due to accident on I-285 Westbound at Exit 30 Chamblee Dunwoody Rd.
0,Accident on GA-139 Martin Luther King Jr Dr both ways at GA-139 Martin Luther King Jr Dr.
1,Two lanes blocked due to accident on I-20 Eastbound at Exit 49 GA-70 Fulton Industrial Blvd.
1,Lane blocked due to accident on I-75 Southbound at Exit 244 I-85 I-75.
1,Accident on I-75 Southbound before Exit 254 Moores Mill Rd.
0,Accident on GA-42 Spur McDonough Blvd at Boulevard.
0,Three right lane blocked due to accident on GA-400 Southbound before Exits 5 5A 5B Abernathy Rd.
0,Accident on GA-400 Southbound at Exit 6 Northridge Rd.
1,Accident on I-20 Eastbound after Exits 51A 51B I-285.
1,Left hand shoulder blocked due to accident on I-20 Eastbound after Exits 51A 51B I-285.
1,Right hand shoulder blocked due to accident on I-285 Westbound at Exit 29 Ashford Dunwoody Rd.
0,Accident on GA-141 Peachtree Industrial Blvd Southbound at Peachtree Industrial Blvd.
0,Accident on US-19 Peachtree St at 25th St.
1,Left lane blocked due to accident on I-75 Northbound at Andrew Young Intl Blvd / Freedom Pkwy.
1,Left hand shoulder blocked due to accident on I-75 Northbound after Fulton St.
0,Shoulder blocked on exit ramp due to accident on Paces Ferry Rd Northbound at I-75.
1,Two left lane blocked due to accident on I-75 Northbound at GA-54 University Ave.
0,Accident on GA-236 Lindbergh Dr at GA-237 Piedmont Rd.
1,Right hand shoulder blocked due to accident on I-75 Northbound at Exit 244 I-85 I-75.
