Label,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Number,Street,Side,City,County,State,Zipcode
1,12/2/16 10:16,12/2/16 10:46,33.913116,-84.286316,,,0.01,,I-285 W,R,Atlanta,DeKalb,GA,30360
0,12/2/16 10:31,12/2/16 11:31,33.771278,-84.38343,,,0.01,599,Courtland St NE,R,Atlanta,Fulton,GA,30308
1,12/2/16 10:46,12/2/16 11:31,33.902916,-84.274139,,,0.01,,I-285 E,R,Atlanta,DeKalb,GA,30360
0,12/2/16 10:49,12/2/16 11:49,33.837536,-84.368294,,,0.01,,Peachtree Dr NE,R,Atlanta,Fulton,GA,30305
1,12/2/16 11:03,12/2/16 12:03,33.724018,-84.349449,,,0.01,1111,Moreland Ave SE,R,Atlanta,Fulton,GA,30316-3182
1,12/2/16 11:01,12/2/16 11:31,33.885494,-84.251686,,,0.01,,Chamblee Tucker Rd,R,Atlanta,DeKalb,GA,30341
1,12/2/16 11:39,12/2/16 12:09,33.722115,-84.394592,,,0.01,,University Ave SW,R,Atlanta,Fulton,GA,30315
1,12/2/16 11:42,12/2/16 12:11,33.7369,-84.391853,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30315
1,12/2/16 11:45,12/2/16 12:14,33.7369,-84.391853,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30315
1,12/2/16 12:34,12/2/16 13:04,33.7369,-84.391853,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30315
0,12/2/16 12:27,12/2/16 12:56,33.982327,-84.341644,,,0.01,,Northridge Rd,R,Atlanta,Fulton,GA,30350
1,12/2/16 12:38,12/2/16 13:08,33.744976,-84.390343,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30312
0,12/2/16 12:37,12/2/16 13:06,33.933468,-84.357735,,,0.01,,GA-400 N,R,Atlanta,Fulton,GA,30328
1,12/2/16 13:18,12/2/16 13:48,33.912338,-84.379128,,,0.01,,GA-407 W,R,Atlanta,Fulton,GA,30342
1,12/2/16 13:57,12/2/16 14:27,33.884594,-84.469887,,,0.01,,I-285 W,R,Atlanta,Cobb,GA,30339
1,12/2/16 16:22,12/2/16 16:52,33.831097,-84.426346,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30327
1,12/2/16 17:18,12/2/16 17:46,33.89185,-84.259369,,,0.01,,I-285 E,R,Atlanta,DeKalb,GA,30340
1,12/2/16 17:29,12/2/16 17:58,33.754147,-84.378761,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30303
1,12/2/16 18:17,12/2/16 18:47,33.757103,-84.468964,,,0.01,,Hamilton E Holmes Dr NW,R,Atlanta,Fulton,GA,30318
0,12/2/16 18:54,12/2/16 19:24,33.855816,-84.382645,,,0.01,3698,Roswell Rd NE,L,Atlanta,Fulton,GA,30342
1,12/2/16 19:01,12/2/16 19:30,33.645809,-84.398575,,,0.01,,I-75 S,R,Atlanta,Clayton,GA,30354
1,12/2/16 21:37,12/2/16 22:06,33.748371,-84.385223,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30312
1,12/3/16 7:23,12/3/16 8:22,33.786976,-84.390915,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30309
0,12/3/16 7:47,12/3/16 8:47,33.771191,-84.371773,,,0.01,619,Boulevard NE,R,Atlanta,Fulton,GA,30308-2701
0,12/3/16 8:10,12/3/16 9:09,33.81385,-84.468491,,,0.01,2131,Bolton Rd NW,R,Atlanta,Fulton,GA,30318-1177
1,12/3/16 8:36,12/3/16 9:35,33.803047,-84.407753,,,0.01,,Northside Dr NW,R,Atlanta,Fulton,GA,30318
0,12/3/16 9:55,12/3/16 10:54,33.797096,-84.368988,,,0.01,1556,Monroe Dr NE,L,Atlanta,Fulton,GA,30324-5017
0,12/3/16 10:10,12/3/16 11:10,33.781494,-84.38781,,,0.01,2,10th St NE,L,Atlanta,Fulton,GA,30309
0,12/3/16 12:08,12/3/16 13:07,33.719879,-84.488106,,,0.01,1299,Lynhurst Dr SW,R,Atlanta,Fulton,GA,30311-3075
0,12/3/16 12:07,12/3/16 13:06,33.837536,-84.368294,,,0.01,,Peachtree Dr NE,R,Atlanta,Fulton,GA,30305
0,12/3/16 12:26,12/3/16 13:26,33.840199,-84.379501,,,0.01,3094,Roswell Rd NW,L,Atlanta,Fulton,GA,30305-1845
0,12/3/16 12:37,12/3/16 13:36,33.854336,-84.382645,,,0.01,3655,Roswell Rd NE,R,Atlanta,Fulton,GA,30342-4413
0,12/3/16 13:34,12/3/16 14:34,33.821323,-84.367523,,,0.01,,Piedmont Rd NE,R,Atlanta,Fulton,GA,30324
0,12/3/16 13:42,12/3/16 14:42,33.69014,-84.506256,,,0.01,,Barge Rd SW,R,Atlanta,Fulton,GA,30331
0,12/3/16 14:24,12/3/16 15:24,33.804775,-84.393608,,,0.01,2,Palisades Rd NE,L,Atlanta,Fulton,GA,30309-1531
0,12/3/16 14:58,12/3/16 15:58,33.852024,-84.369621,,,0.01,,Lenox Rd NE,R,Atlanta,Fulton,GA,30342
1,12/3/16 18:57,12/3/16 19:42,33.902916,-84.274139,,,0.01,,I-285 E,R,Atlanta,DeKalb,GA,30360
1,12/3/16 19:10,12/3/16 19:55,33.759472,-84.378876,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30312
1,12/3/16 19:27,12/3/16 20:12,33.885494,-84.251686,,,0.01,,Chamblee Tucker Rd,R,Atlanta,DeKalb,GA,30341
1,12/3/16 19:36,12/3/16 20:22,33.742832,-84.403595,,,0.01,,GA-402 W,R,Atlanta,Fulton,GA,30312
1,12/3/16 21:08,12/3/16 21:52,33.744976,-84.390343,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30312
1,12/4/16 8:00,12/4/16 8:29,33.690125,-84.500153,,,0.01,,GA-407 S,R,Atlanta,Fulton,GA,30331
1,12/4/16 8:03,12/4/16 8:33,33.665138,-84.418549,,,0.01,,Sylvan Rd,R,Atlanta,Fulton,GA,30354
1,12/4/16 8:04,12/4/16 8:33,33.892895,-84.260452,,,0.01,,GA-407 W,R,Atlanta,DeKalb,GA,30340
1,12/4/16 8:19,12/4/16 9:18,33.690125,-84.500153,,,0.01,,GA-407 S,R,Atlanta,Fulton,GA,30331
1,12/4/16 8:18,12/4/16 9:18,33.681328,-84.411522,,,0.01,,Cleveland Ave SW,R,Atlanta,Fulton,GA,30315
1,12/4/16 8:23,12/4/16 8:53,33.617954,-84.484985,,,0.01,,GA-403 S,R,Atlanta,Fulton,GA,30349
1,12/4/16 8:20,12/4/16 9:20,33.745052,-84.389732,,,0.01,,GA-402 W,R,Atlanta,Fulton,GA,30312
1,12/4/16 8:21,12/4/16 9:21,33.745556,-84.349213,,,0.01,,GA-402 W,R,Atlanta,Fulton,GA,30316
1,12/4/16 8:51,12/4/16 9:20,33.885162,-84.251266,,,0.01,,GA-407 W,R,Atlanta,DeKalb,GA,30341
1,12/4/16 9:38,12/4/16 10:37,33.656929,-84.497757,,,2.37,,GA-407 S,R,Atlanta,Fulton,GA,30344
1,12/4/16 9:39,12/4/16 10:08,33.619576,-84.460335,,,0.01,,GA-407 W,R,Atlanta,Fulton,GA,30337
1,12/4/16 9:44,12/4/16 10:43,33.743549,-84.332092,,,0.01,,Clifton St SE,R,Atlanta,DeKalb,GA,30316
1,12/4/16 10:25,12/4/16 10:55,33.89106,-84.459381,,,0.01,,GA-407 W,R,Atlanta,Cobb,GA,30339
1,12/4/16 10:27,12/4/16 10:57,33.831833,-84.426376,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30327
1,12/4/16 10:29,12/4/16 10:59,33.753635,-84.495628,,,0.01,,GA-407 S,R,Atlanta,Fulton,GA,30311
0,12/4/16 10:31,12/4/16 11:01,33.699425,-84.457336,,,0.52,,Arthur Langford Pkwy W,R,Atlanta,Fulton,GA,30344
1,12/4/16 10:45,12/4/16 11:15,33.823265,-84.355835,,,0.01,,GA-403 S,R,Atlanta,Fulton,GA,30324
1,12/4/16 11:05,12/4/16 11:35,33.744976,-84.390343,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30312
1,12/4/16 11:06,12/4/16 11:36,33.683865,-84.310005,,,0.01,,Bouldercrest Rd SE,R,Atlanta,DeKalb,GA,30316
0,12/4/16 11:08,12/4/16 11:37,33.852024,-84.369621,,,0.01,,Lenox Rd NE,R,Atlanta,Fulton,GA,30342
1,12/4/16 11:22,12/4/16 11:52,33.683865,-84.310005,,,0.01,,Bouldercrest Rd SE,R,Atlanta,DeKalb,GA,30316
0,12/4/16 12:24,12/4/16 13:24,33.846313,-84.368347,,,0.01,3332,Peachtree Rd NE,L,Atlanta,Fulton,GA,30326-1001
0,12/4/16 12:29,12/4/16 13:29,33.773819,-84.359955,,,0.01,,Ponce de Leon Ave NE,R,Atlanta,Fulton,GA,30306
0,12/4/16 13:26,12/4/16 14:26,33.750694,-84.446144,,,0.01,,Anderson Ave SW,R,Atlanta,Fulton,GA,30310
1,12/4/16 13:26,12/4/16 14:26,33.742722,-84.40332,,,0.01,,GA-402 E,R,Atlanta,Fulton,GA,30312
1,12/4/16 14:20,12/4/16 15:20,33.77092,-84.390503,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30308
1,12/4/16 14:39,12/4/16 15:09,33.892677,-84.26017,,,0.01,,GA-407 W,R,Atlanta,DeKalb,GA,30340
1,12/4/16 15:14,12/4/16 15:59,33.754379,-84.3787,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30303
1,12/4/16 15:25,12/4/16 16:09,33.759472,-84.378876,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30312
1,12/4/16 16:14,12/4/16 16:59,33.890293,-84.460991,,,0.01,,I-75 S,R,Atlanta,Cobb,GA,30339
1,12/4/16 16:08,12/4/16 16:43,33.874134,-84.249619,,,0.01,,GA-407 W,R,Atlanta,DeKalb,GA,30341
1,12/4/16 16:43,12/4/16 17:27,33.745556,-84.349213,,,0.01,,GA-402 W,R,Atlanta,Fulton,GA,30316
1,12/4/16 16:52,12/4/16 17:37,33.744976,-84.390343,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30312
1,12/4/16 17:11,12/4/16 17:56,33.681328,-84.411522,,,0.01,,Cleveland Ave SW,R,Atlanta,Fulton,GA,30315
1,12/4/16 17:37,12/4/16 18:21,33.690125,-84.500153,,,0.01,,GA-407 S,R,Atlanta,Fulton,GA,30331
1,12/4/16 18:15,12/4/16 19:00,33.695187,-84.404877,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30315
0,12/4/16 19:51,12/4/16 20:36,33.911575,-84.357521,,,0.01,,GA-407 W,R,Atlanta,Fulton,GA,30342
1,12/4/16 20:09,12/4/16 20:54,33.744976,-84.390343,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30312
1,12/4/16 21:42,12/4/16 22:27,33.821548,-84.359383,,,0.01,,GA-403 N,R,Atlanta,Fulton,GA,30324
1,12/4/16 22:54,12/4/16 23:39,33.584824,-84.513527,,,0.01,,GA-403 S,R,Atlanta,Fulton,GA,30349
1,12/5/16 4:22,12/5/16 4:51,33.656479,-84.497551,,,0.01,,I-285 N,R,Atlanta,Fulton,GA,30344
1,12/5/16 5:19,12/5/16 5:49,33.629498,-84.455986,,,0.01,,GA-403 S,R,Atlanta,Clayton,GA,30337
1,12/5/16 5:17,12/5/16 5:47,33.744976,-84.390343,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30312
1,12/5/16 6:03,12/5/16 7:02,33.803047,-84.407753,,,0.01,,Northside Dr NW,R,Atlanta,Fulton,GA,30318
1,12/5/16 6:04,12/5/16 6:34,33.796211,-84.393692,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30309
1,12/5/16 6:16,12/5/16 6:45,33.757103,-84.468964,,,0.01,,Hamilton E Holmes Dr NW,R,Atlanta,Fulton,GA,30318
1,12/5/16 6:14,12/5/16 6:43,33.744976,-84.390343,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30312
1,12/5/16 6:19,12/5/16 6:48,33.751446,-84.446114,,,0.01,86,Anderson Ave SW,L,Atlanta,Fulton,GA,30314
0,12/5/16 6:35,12/5/16 7:05,33.681293,-84.407715,,,0.01,,Metropolitan Pkwy SW,R,Atlanta,Fulton,GA,30315
1,12/5/16 7:08,12/5/16 7:38,33.908504,-84.429779,,,0.01,,GA-407 W,R,Atlanta,Fulton,GA,30327
1,12/5/16 7:05,12/5/16 7:34,33.791622,-84.391998,,,0.01,,GA-403 S,R,Atlanta,Fulton,GA,30309
1,12/5/16 7:15,12/5/16 8:15,33.916046,-84.406662,,,0.01,,GA-407 W,R,Atlanta,Fulton,GA,30327
1,12/5/16 7:24,12/5/16 7:54,33.649498,-84.39698,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30354
1,12/5/16 7:28,12/5/16 7:58,33.796211,-84.393692,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30309
1,12/5/16 7:20,12/5/16 7:49,33.771286,-84.390045,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30308
1,12/5/16 7:29,12/5/16 7:58,33.821548,-84.359383,,,0.01,,GA-403 N,R,Atlanta,Fulton,GA,30324
1,12/5/16 7:59,12/5/16 8:29,33.805141,-84.413338,,,0.01,,Howell Mill Rd NW,R,Atlanta,Fulton,GA,30318
0,12/5/16 8:02,12/5/16 9:01,33.823273,-84.367271,,,0.01,2508,Piedmont Rd NE,L,Atlanta,Fulton,GA,30324-3398
0,12/5/16 8:23,12/5/16 8:53,33.607605,-84.530266,,,0.01,4355,Roosevelt Hwy,R,Atlanta,Fulton,GA,30349-2515
1,12/5/16 8:32,12/5/16 9:02,33.786896,-84.493134,,,0.01,,Donald Lee Hollowell Pkwy NW,R,Atlanta,Fulton,GA,30331
0,12/5/16 8:35,12/5/16 9:05,33.852024,-84.369621,,,0.01,,Lenox Rd NE,R,Atlanta,Fulton,GA,30342
0,12/5/16 9:03,12/5/16 9:33,33.850418,-84.361984,,,0.01,,Lenox Rd NE,R,Atlanta,Fulton,GA,30326
1,12/5/16 9:25,12/5/16 9:55,33.764793,-84.492996,,,0.01,,I-285 N,R,Atlanta,Fulton,GA,30318
1,12/5/16 9:45,12/5/16 10:15,33.771286,-84.390045,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30308
1,12/5/16 9:37,12/5/16 10:07,33.832123,-84.335274,,,0.01,,GA-403 N,R,Atlanta,DeKalb,GA,30329
1,12/5/16 9:56,12/5/16 10:26,33.786633,-84.391457,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30318
1,12/5/16 10:09,12/5/16 11:08,33.803047,-84.407753,,,0.01,,Northside Dr NW,R,Atlanta,Fulton,GA,30318
1,12/5/16 10:11,12/5/16 10:41,33.796211,-84.393692,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30309
0,12/5/16 10:08,12/5/16 11:08,33.786594,-84.383141,,,0.01,1178,Peachtree St NE,L,Atlanta,Fulton,GA,30309-3602
1,12/5/16 10:47,12/5/16 11:17,33.765018,-84.493874,,,0.01,,GA-407 S,R,Atlanta,Fulton,GA,30331
0,12/5/16 10:53,12/5/16 11:22,33.718285,-84.425163,,,0.01,,Campbellton Rd SW,R,Atlanta,Fulton,GA,30310
1,12/5/16 11:09,12/5/16 11:38,33.781532,-84.390869,,,0.01,110,10th St NW,L,Atlanta,Fulton,GA,30309-3810
1,12/5/16 11:22,12/5/16 11:52,33.754379,-84.3787,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30303
0,12/5/16 11:23,12/5/16 11:53,33.741825,-84.368149,,,0.01,477,Boulevard SE,R,Atlanta,Fulton,GA,30312-3448
1,12/5/16 12:23,12/5/16 13:22,33.757103,-84.468964,,,0.01,,Hamilton E Holmes Dr NW,R,Atlanta,Fulton,GA,30318
1,12/5/16 12:25,12/5/16 13:24,33.688072,-84.399773,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30315
1,12/5/16 12:26,12/5/16 13:30,33.796211,-84.393692,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30309
0,12/5/16 12:26,12/5/16 13:26,33.741898,-84.387787,,,0.01,498,Capitol Ave SE,L,Atlanta,Fulton,GA,30312-2802
1,12/5/16 14:44,12/5/16 15:13,33.831833,-84.426376,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30327
1,12/5/16 15:05,12/5/16 15:35,33.764664,-84.493813,,,0.01,,GA-407 S,R,Atlanta,Fulton,GA,30331
1,12/5/16 15:44,12/5/16 16:13,33.743267,-84.368134,,,0.01,,GA-402 E,R,Atlanta,Fulton,GA,30312
1,12/5/16 15:54,12/5/16 16:23,33.766376,-84.527321,,,0.01,,GA-402 E,R,Atlanta,Fulton,GA,30336
1,12/5/16 16:36,12/5/16 17:06,33.794186,-84.393486,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30363
0,12/5/16 17:17,12/5/16 17:47,33.717121,-84.368553,,,0.01,601,Custer Ave SE,R,Atlanta,Fulton,GA,30315
1,12/5/16 17:31,12/5/16 18:00,33.848824,-84.431076,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30327
0,12/5/16 18:40,12/5/16 19:10,33.852024,-84.369621,,,0.01,,Lenox Rd NE,R,Atlanta,Fulton,GA,30342
1,12/5/16 18:44,12/5/16 19:14,33.690769,-84.499954,,,0.01,,I-285 N,R,Atlanta,Fulton,GA,30331
1,12/5/16 18:56,12/5/16 19:25,33.881222,-84.453125,,,0.01,,Cumberland Blvd,R,Atlanta,Cobb,GA,30339
0,12/5/16 19:10,12/5/16 19:38,33.933468,-84.357735,,,0.01,,GA-400 N,R,Atlanta,Fulton,GA,30328
1,12/5/16 19:29,12/5/16 19:58,33.864868,-84.439674,,,0.01,,Mount Paran Rd NW,R,Atlanta,Fulton,GA,30327
1,12/5/16 20:05,12/5/16 20:34,33.638821,-84.456047,,,0.01,,GA-403 S,R,Atlanta,Clayton,GA,30337
1,12/5/16 20:06,12/5/16 20:35,33.885494,-84.251686,,,0.01,,Chamblee Tucker Rd,R,Atlanta,DeKalb,GA,30341
0,12/5/16 20:30,12/5/16 21:00,33.768059,-84.441032,,,0,1649,North Ave NW,R,Atlanta,Fulton,GA,30318-8170
1,12/5/16 21:32,12/5/16 22:01,33.885029,-84.469032,,,0.01,,I-285 E,R,Atlanta,Cobb,GA,30339
